probability,start_symbol,end_symbol0,end_symbol1,end_symbol2,end_symbol3,end_symbol4,end_symbol5,end_symbol6,end_symbol7,end_symbol8,end_symbol9,end_symbols
1.0,ROOT,S,,,,,,,,,,"(S,)"
0.0005590607778931396,S,SN,SP,GV,SP,S,,,,,,"(SN, SP, GV, SP, S)"
0.044073254175890524,SN,S,GRUP.NOM,,,,,,,,,"(S, GRUP.NOM)"
0.026675185688044088,S,SP,SN,GV,,,,,,,,"(SP, SN, GV)"
0.042439081263845164,SP,ESPEC,GRUP.NOM,,,,,,,,,"(ESPEC, GRUP.NOM)"
0.8468166586883676,ESPEC,DET,,,,,,,,,,"(DET,)"
0.00023137436372049977,DET,Hogeita_hamabost,,,,,,,,,,"('Hogeita_hamabost',)"
0.7441713925645873,GRUP.NOM,IZE,,,,,,,,,,"(IZE,)"
0.0003359650596337981,IZE,urtetan,,,,,,,,,,"('urtetan',)"
0.0009056148118333669,SN,SP,SP,GRUP.NOM,,,,,,,,"(SP, SP, GRUP.NOM)"
0.4522560335781742,SP,GRUP.NOM,,,,,,,,,,"(GRUP.NOM,)"
0.00011198835321126603,IZE,Euskaltzaindiaren,,,,,,,,,,"('Euskaltzaindiaren',)"
0.04662885948330183,GRUP.NOM,IZE,IZE,,,,,,,,,"(IZE, IZE)"
5.599417660563302e-05,IZE,Erribera,,,,,,,,,,"('Erribera',)"
0.00022397670642253207,IZE,kaleko,,,,,,,,,,"('kaleko',)"
0.00027997088302816507,IZE,egoitza,,,,,,,,,,"('egoitza',)"
0.2571798188874515,GV,ADI,ADL,,,,,,,,,"(ADI, ADL)"
0.0005535872453498672,ADI,garbitu,,,,,,,,,,"('garbitu',)"
0.09523809523809523,ADL,zuen,,,,,,,,,,"('zuen',)"
0.00044795341284506414,IZE,Maria,,,,,,,,,,"('Maria',)"
5.599417660563302e-05,IZE,Aldazabal,,,,,,,,,,"('Aldazabal',)"
0.00022397670642253207,IZE,Bilbon,,,,,,,,,,"('Bilbon',)"
0.006310894596988486,ADI,hil,,,,,,,,,,"('hil',)"
0.089728453364817,ADL,zen,,,,,,,,,,"('zen',)"
0.09746997784773231,SP,SP,GRUP.NOM,,,,,,,,,"(SP, GRUP.NOM)"
0.048851579806459135,SP,ESPEC,,,,,,,,,,"(ESPEC,)"
0.00046274872744099955,DET,1995.eko,,,,,,,,,,"('1995.eko',)"
0.00022397670642253207,IZE,azaroaren,,,,,,,,,,"('azaroaren',)"
0.00011198835321126603,IZE,18an,,,,,,,,,,"('18an',)"
0.12131618880281128,S,SN,GV,,,,,,,,,"(SN, GV)"
0.034715234453612395,SN,ESPEC,GRUP.NOM,,,,,,,,,"(ESPEC, GRUP.NOM)"
0.05816179990426041,ESPEC,PUNT,DET,,,,,,,,,"(PUNT, DET)"
0.44727818259751395,PUNT,",",,,,,,,,,,"(',',)"
0.00023137436372049977,DET,89,,,,,,,,,,"('89',)"
0.003919592362394311,IZE,urte,,,,,,,,,,"('urte',)"
0.046485554118154374,GV,ADT,PUNT,,,,,,,,,"(ADT, PUNT)"
0.0008350730688935282,ADT,zituelarik,,,,,,,,,,"('zituelarik',)"
0.46806686669524217,PUNT,.,,,,,,,,,,"('.',)"
0.003993291270665282,S,S,PUNT,S,COORD,S,,,,,,"(S, PUNT, S, COORD, S)"
0.06277453877485824,S,SP,GV,,,,,,,,,"(SP, GV)"
5.599417660563302e-05,IZE,Francisco_Lopez-ekin,,,,,,,,,,"('Francisco_Lopez-ekin',)"
0.27184131090987496,GV,ADI,,,,,,,,,,"(ADI,)"
0.00011071744906997343,ADI,ezkondua,,,,,,,,,,"('ezkondua',)"
0.0026355722386390864,S,SP,GV,SP,,,,,,,,"(SP, GV, SP)"
0.00016798252981689904,IZE,atzerrira,,,,,,,,,,"('atzerrira',)"
0.007196634189548272,ADI,joan,,,,,,,,,,"('joan',)"
0.0367965367965368,ADL,ziren,,,,,,,,,,"('ziren',)"
0.0007839184724788622,IZE,gerra,,,,,,,,,,"('gerra',)"
5.599417660563302e-05,IZE,denboran,,,,,,,,,,"('denboran',)"
0.6661896243291592,COORD,LOT,,,,,,,,,,"(LOT,)"
0.5692031156381067,LOT,eta,,,,,,,,,,"('eta',)"
0.0044724862231451164,S,SP,SN,GV,SN,,,,,,,"(SP, SN, GV, SN)"
5.599417660563302e-05,IZE,Clermont-Ferranden,,,,,,,,,,"('Clermont-Ferranden',)"
0.37281143087140267,SN,GRUP.NOM,,,,,,,,,,"(GRUP.NOM,)"
5.599417660563302e-05,IZE,alargun,,,,,,,,,,"('alargun',)"
0.003210806023029229,ADI,geratu,,,,,,,,,,"('geratu',)"
0.06175173282923756,GRUP.NOM,IZE,PUNT,,,,,,,,,"(IZE, PUNT)"
0.011420813034102707,S,SN,S,GV,,,,,,,,"(SN, S, GV)"
5.599417660563302e-05,IZE,Zuzendaritzak,,,,,,,,,,"('Zuzendaritzak',)"
0.001357719032026196,S,SP,SP,SN,GV,,,,,,,"(SP, SP, SN, GV)"
0.034744083012708406,SP,S,GRUP.NOM,,,,,,,,,"(S, GRUP.NOM)"
0.006628863509304368,S,SP,SP,GV,,,,,,,,"(SP, SP, GV)"
0.07114051669817266,GRUP.NOM,PUNT,IZE,,,,,,,,,"(PUNT, IZE)"
0.00011198835321126603,IZE,Donostian,,,,,,,,,,"('Donostian',)"
0.00022397670642253207,IZE,20an,,,,,,,,,,"('20an',)"
0.003210806023029229,ADI,egindako,,,,,,,,,,"('egindako',)"
0.00027997088302816507,IZE,bileran,,,,,,,,,,"('bileran',)"
