probability,start_symbol,end_symbol0,end_symbol1,end_symbol2,end_symbol3,end_symbol4,end_symbol5,end_symbol6,end_symbol7,end_symbol8,end_symbol9,end_symbols
1.0,ROOT,S,,,,,,,,,,"(S,)"
0.00021308331557639036,S,ADV,PONCT,NP,VN,Ssub,COORD,PONCT,,,,"(ADV, PONCT, NP, VN, Ssub, COORD, PONCT)"
0.0017424132423406419,ADV,Certes,,,,,,,,,,"('Certes',)"
0.4407226617292263,PONCT,",",,,,,,,,,,"(',',)"
0.010461290122307072,NP,PRO,,,,,,,,,,"(PRO,)"
0.02610441767068273,PRO,rien,,,,,,,,,,"('rien',)"
0.028742742933282574,VN,ADV,V,,,,,,,,,"(ADV, V)"
0.05532162044431538,ADV,ne,,,,,,,,,,"('ne',)"
0.0029514354708881137,V,dit,,,,,,,,,,"('dit',)"
0.7764995891536566,Ssub,CS,Sint,,,,,,,,,"(CS, Sint)"
0.1524966261808367,CS,qu',,,,,,,,,,"(""qu'"",)"
0.0067039106145251395,Sint,NP,PONCT,VN,NP,,,,,,,"(NP, PONCT, VN, NP)"
9.312721177127957e-05,NP,DET,ADJ,NC,PP,PONCT,VPpart,,,,,"(DET, ADJ, NC, PP, PONCT, VPpart)"
0.05315106351478063,DET,une,,,,,,,,,,"('une',)"
0.0013671258807445579,ADJ,seconde,,,,,,,,,,"('seconde',)"
0.023158359064843405,NC,NC,P,NC,,,,,,,,"(NC, P, NC)"
9.452391455038124e-05,NC,motion,,,,,,,,,,"('motion',)"
0.28082827260458837,P,de,,,,,,,,,,"('de',)"
6.30159430335875e-05,NC,censure,,,,,,,,,,"('censure',)"
0.8397001809253037,PP,P,NP,,,,,,,,,"(P, NP)"
0.027370107962213227,P,sur,,,,,,,,,,"('sur',)"
0.17566896380455702,NP,DET,NC,,,,,,,,,"(DET, NC)"
0.016039086018852095,DET,son,,,,,,,,,,"('son',)"
0.0014493666897725124,NC,projet,,,,,,,,,,"('projet',)"
0.0015123826328060999,NC,loi,,,,,,,,,,"('loi',)"
0.06736035049288061,VPpart,VN,NP,,,,,,,,,"(VN, NP)"
0.03816503283525269,VN,VPR,,,,,,,,,,"(VPR,)"
0.003937007874015748,VPR,repret,,,,,,,,,,"('repret',)"
0.11581920903954802,NP,DET,NC,PP,,,,,,,,"(DET, NC, PP)"
0.11686324828505157,DET,l',,,,,,,,,,"(""l'"",)"
0.0025521456928602935,NC,accord,,,,,,,,,,"('accord',)"
0.06406039136302294,P,du,,,,,,,,,,"('du',)"
0.009436890792822996,NP,ADJ,NC,,,,,,,,,"(ADJ, NC)"
0.0011567988221684719,ADJ,10,,,,,,,,,,"('10',)"
0.0009137311739870187,NC,avril,,,,,,,,,,"('avril',)"
0.006567050537736747,VN,ADV,V,ADV,VPP,,,,,,,"(ADV, V, ADV, VPP)"
0.05314360389138958,ADV,n',,,,,,,,,,"(""n'"",)"
0.005366246310705662,V,aurait,,,,,,,,,,"('aurait',)"
0.06374328444896181,ADV,pas,,,,,,,,,,"('pas',)"
0.07308286155429748,VPP,été,,,,,,,,,,"('été',)"
0.0031352827962997454,NP,DET,ADJ,,,,,,,,,"(DET, ADJ)"
0.1614272319005083,DET,la,,,,,,,,,,"('la',)"
0.0031549058786412873,ADJ,bonne,,,,,,,,,,"('bonne',)"
0.07722712070538157,COORD,CC,Sint,,,,,,,,,"(CC, Sint)"
0.051299133910726186,CC,mais,,,,,,,,,,"('mais',)"
0.0005586592178770949,Sint,NP,Sint,VN,NP,,,,,,,"(NP, Sint, VN, NP)"
0.01016631298425702,DET,cette,,,,,,,,,,"('cette',)"
