probability,start_symbol,end_symbol0,end_symbol1,end_symbol2,end_symbol3,end_symbol4,end_symbol5,end_symbol6,end_symbol7,end_symbol8,end_symbol9,end_symbols
0.0014903129657228018,ROOT,``,S,'',,,,,,,,"(``, S, '')"
1.0,``,,,,,,,,,,,()
0.00017516202487300754,S,PN,VAFIN,ADV,NP,,,,,,,"(PN, VAFIN, ADV, NP)"
0.7341463414634146,PN,NE,NE,,,,,,,,,"(NE, NE)"
0.0007085498346717053,NE,Ross,,,,,,,,,,"('Ross',)"
0.003778932451582428,NE,Perot,,,,,,,,,,"('Perot',)"
0.010732617825478302,VAFIN,wäre,,,,,,,,,,"('wäre',)"
0.003372681281618887,ADV,vielleicht,,,,,,,,,,"('vielleicht',)"
0.07450428252962572,NP,ART,ADJA,NN,,,,,,,,"(ART, ADJA, NN)"
0.0371647509578544,ART,ein,,,,,,,,,,"('ein',)"
0.00046468401486988845,ADJA,prächtiger,,,,,,,,,,"('prächtiger',)"
0.00013408420488066506,NN,Diktator,,,,,,,,,,"('Diktator',)"
1.0,'',,,,,,,,,,,()
0.00819672131147541,ROOT,S,/,,,,,,,,,"(S, /)"
0.00017516202487300754,S,NN,VVFIN,NP,PP,PTKVZ,,,,,,"(NN, VVFIN, NP, PP, PTKVZ)"
0.00013408420488066506,NN,Konzernchefs,,,,,,,,,,"('Konzernchefs',)"
0.0010645848119233499,VVFIN,lehnen,,,,,,,,,,"('lehnen',)"
0.2305526223160859,NP,ART,NN,,,,,,,,,"(ART, NN)"
0.09655172413793103,ART,den,,,,,,,,,,"('den',)"
0.00020112630732099757,NN,Milliardär,,,,,,,,,,"('Milliardär',)"
0.08669301712779974,PP,APPR,NN,,,,,,,,,"(APPR, NN)"
0.020663846404165312,APPR,als,,,,,,,,,,"('als',)"
0.0028828104049342987,NN,US,,,,,,,,,,"('US',)"
0.0728744939271255,PTKVZ,ab,,,,,,,,,,"('ab',)"
1.0,/,,,,,,,,,,,()
0.0371900826446281,ROOTS,NN,VVFIN,NP,,,,,,,,"(NN, VVFIN, NP)"
0.00013408420488066506,NN,Texaner,,,,,,,,,,"('Texaner',)"
0.014904187366926898,VVFIN,gibt,,,,,,,,,,"('gibt',)"
