probability,start_symbol,end_symbol0,end_symbol1,end_symbol2,end_symbol3,end_symbol4,end_symbol5,end_symbol6,end_symbol7,end_symbol8,end_symbol9,end_symbols
0.9111245465538089,ROOT,S,,,,,,,,,,"(S,)"
0.0024877497173011686,S,SYN_yyQUOT,S,SYN_yyDOT,,,,,,,,"(SYN_yyQUOT, S, SYN_yyDOT)"
1.0,SYN_yyQUOT,yyQUOT,,,,,,,,,,"(yyQUOT,)"
1.0,yyQUOT,"""",,,,,,,,,,"('""',)"
7.538635506973238e-05,S,VP,NP,SYN_CC,ADVP,,,,,,,"(VP, NP, SYN_CC, ADVP)"
0.8173955613577023,VP,SYN_VB,,,,,,,,,,"(SYN_VB,)"
0.018608144192256343,SYN_VB,COP,,,,,,,,,,"(COP,)"
0.03303964757709251,COP,תהיה,,,,,,,,,,"('תהיה',)"
0.20926422400953232,NP,SYN_NN,,,,,,,,,,"(SYN_NN,)"
0.8859141030591667,SYN_NN,NN,,,,,,,,,,"(NN,)"
0.00023549359457422758,NN,נקמה,,,,,,,,,,"('נקמה',)"
0.8331690487925086,SYN_CC,CONJ,,,,,,,,,,"(CONJ,)"
1.0,CONJ,ו,,,,,,,,,,"('ו',)"
0.8462902749039314,ADVP,SYN_RB,,,,,,,,,,"(SYN_RB,)"
0.8585890540968049,SYN_RB,RB,,,,,,,,,,"(RB,)"
0.00022431583669807088,RB,בגדול,,,,,,,,,,"('בגדול',)"
1.0,SYN_yyDOT,yyDOT,,,,,,,,,,"(yyDOT,)"
1.0,yyDOT,.,,,,,,,,,,"('.',)"
0.00022615906520919715,S,SBAR,VP,NP,PP,SYN_yyDOT,,,,,,"(SBAR, VP, NP, PP, SYN_yyDOT)"
0.0498603909054647,SBAR,S,,,,,,,,,,"(S,)"
0.0011307953260459858,S,S,SYN_yyQUOT,,,,,,,,,"(S, SYN_yyQUOT)"
0.0033169996230682248,S,NP,VP,ADVP,PP,,,,,,,"(NP, VP, ADVP, PP)"
0.00958196802700824,NP,SYN_MOD,NP,,,,,,,,,"(SYN_MOD, NP)"
0.7895890410958905,SYN_MOD,RB,,,,,,,,,,"(RB,)"
0.09869896814715119,RB,גם,,,,,,,,,,"('גם',)"
0.002025244913338357,NN,יהודים,,,,,,,,,,"('יהודים',)"
0.2553404539385848,SYN_VB,BN,,,,,,,,,,"(BN,)"
0.003427592116538132,BN,נמצאים,,,,,,,,,,"('נמצאים',)"
0.008748317631224764,RB,עתה,,,,,,,,,,"('עתה',)"
0.7906265099049766,PP,SYN_IN,NP,,,,,,,,,"(SYN_IN, NP)"
0.3074378212323507,SYN_IN,IN,,,,,,,,,,"(IN,)"
0.21774193548387097,IN,על,,,,,,,,,,"('על',)"
0.1652268890874789,NP,SYN_H,SYN_NN,,,,,,,,,"(SYN_H, SYN_NN)"
0.9991107817710263,SYN_H,DEF,,,,,,,,,,"(DEF,)"
1.0,DEF,ה,,,,,,,,,,"('ה',)"
4.709871891484552e-05,NN,כוונת,,,,,,,,,,"('כוונת',)"
