probability,start_symbol,end_symbol0,end_symbol1,end_symbol2,end_symbol3,end_symbol4,end_symbol5,end_symbol6,end_symbol7,end_symbol8,end_symbol9,end_symbols
0.9995690583925878,ROOT,CP,,,,,,,,,,"(CP,)"
0.0018962816390469123,CP,NP,PUNC,C0,CP,PUNC,,,,,,"(NP, PUNC, C0, CP, PUNC)"
0.13930409213428083,NP,N,,,,,,,,,,"(N,)"
3.644580508783439e-05,N,Tény,,,,,,,,,,"('Tény',)"
0.46197664483053263,PUNC,",",,,,,,,,,,"(',',)"
0.9977815699658703,C0,C,,,,,,,,,,"(C,)"
0.18128955019668205,C,hogy,,,,,,,,,,"('hogy',)"
0.01714898177920686,CP,NP,NP,,,,,,,,,"(NP, NP)"
0.0002144082332761578,NP,NP,PUNC,NP,PUNC,NP,PUNC,C0,NP,,,"(NP, PUNC, NP, PUNC, NP, PUNC, C0, NP)"
0.0007351139426611125,NP,NP,NP,N,,,,,,,,"(NP, NP, N)"
0.18053173241852488,NP,T,N,,,,,,,,,"(T, N)"
0.5981787640350101,T,a,,,,,,,,,,"('a',)"
0.000656024491581019,N,nők,,,,,,,,,,"('nők',)"
7.289161017566878e-05,N,munkába,,,,,,,,,,"('munkába',)"
7.289161017566878e-05,N,állása,,,,,,,,,,"('állása',)"
0.09706567017887772,NP,NP,N,,,,,,,,,"(NP, N)"
0.09155231560891938,NP,T,ADJP,N,,,,,,,,"(T, ADJP, N)"
0.20625939351074177,T,az,,,,,,,,,,"('az',)"
0.6388426128890837,ADJP,A,,,,,,,,,,"(A,)"
0.000662471016893011,A,élettársi,,,,,,,,,,"('élettársi',)"
0.00047379546614184707,N,kapcsolatok,,,,,,,,,,"('kapcsolatok',)"
0.00021867483052700635,N,megjelenése,,,,,,,,,,"('megjelenése',)"
0.11144234984655853,ADJP,NP,A,,,,,,,,,"(NP, A)"
7.289161017566878e-05,N,házasságon,,,,,,,,,,"('házasságon',)"
0.0005796621397813846,A,kívüli,,,,,,,,,,"('kívüli',)"
3.644580508783439e-05,N,gyermekszülések,,,,,,,,,,"('gyermekszülések',)"
0.0274442538593482,NP,A,,,,,,,,,,"(A,)"
8.280887711162637e-05,A,tömegessé,,,,,,,,,,"('tömegessé',)"
7.289161017566878e-05,N,válása,,,,,,,,,,"('válása',)"
0.017615871387036085,C,illetve,,,,,,,,,,"('illetve',)"
0.027719921587846117,NP,NP,ADJP,N,,,,,,,,"(NP, ADJP, N)"
