probability,start_symbol,end_symbol0,end_symbol1,end_symbol2,end_symbol3,end_symbol4,end_symbol5,end_symbol6,end_symbol7,end_symbol8,end_symbols
0.8599159495697418,ROOTwypowiedzenie,zdanie,znakkonca,nan,nan,nan,nan,nan,nan,nan,"(zdanie, znakkonca)"
0.07034195813288259,zdanie,zdanie,spójnik,zdanie,nan,nan,nan,nan,nan,nan,"(zdanie, spójnik, zdanie)"
0.1525159277077103,zdanie,fw,ff,fw,nan,nan,nan,nan,nan,nan,"(fw, ff, fw)"
0.6134349374637621,fw,fno,nan,nan,nan,nan,nan,nan,nan,nan,"(fno,)"
0.5707543520309478,fno,formarzecz,nan,nan,nan,nan,nan,nan,nan,nan,"(formarzecz,)"
0.9544715447154472,formarzecz,subst,nan,nan,nan,nan,nan,nan,nan,nan,"(subst,)"
0.00013656538067599862,subst,Kierowca,nan,nan,nan,nan,nan,nan,nan,nan,"('Kierowca',)"
1.0,ff,fwe,nan,nan,nan,nan,nan,nan,nan,nan,"(fwe,)"
0.8252868068833652,fwe,formaczas,nan,nan,nan,nan,nan,nan,nan,nan,"(formaczas,)"
0.3638503792832854,formaczas,fin,nan,nan,nan,nan,nan,nan,nan,nan,"(fin,)"
0.0003551136363636364,fin,wrzuca,nan,nan,nan,nan,nan,nan,nan,nan,"('wrzuca',)"
6.828269033799931e-05,subst,wsteczny,nan,nan,nan,nan,nan,nan,nan,nan,"('wsteczny',)"
0.4848719937936385,spójnik,conj,nan,nan,nan,nan,nan,nan,nan,nan,"(conj,)"
0.601556420233463,conj,i,nan,nan,nan,nan,nan,nan,nan,nan,"('i',)"
0.06488102977506176,zdanie,fl,ff,fw,nan,nan,nan,nan,nan,nan,"(fl, ff, fw)"
0.3915148720313581,fl,fpm,nan,nan,nan,nan,nan,nan,nan,nan,"(fpm,)"
0.9796732522796353,fpm,przyimek,fno,nan,nan,nan,nan,nan,nan,nan,"(przyimek, fno)"
0.9996163437559946,przyimek,prep,nan,nan,nan,nan,nan,nan,nan,nan,"(prep,)"
0.15122511485451762,prep,na,nan,nan,nan,nan,nan,nan,nan,nan,"('na',)"
0.08270793036750483,fno,fpt,fno,nan,nan,nan,nan,nan,nan,nan,"(fpt, fno)"
0.8435683995602324,fpt,formaprzym,nan,nan,nan,nan,nan,nan,nan,nan,"(formaprzym,)"
0.8600556070435589,formaprzym,adj,nan,nan,nan,nan,nan,nan,nan,nan,"(adj,)"
0.00019976028765481422,adj,pełnym,nan,nan,nan,nan,nan,nan,nan,nan,"('pełnym',)"
6.828269033799931e-05,subst,gazie,nan,nan,nan,nan,nan,nan,nan,nan,"('gazie',)"
0.0003551136363636364,fin,taranuje,nan,nan,nan,nan,nan,nan,nan,nan,"('taranuje',)"
0.00013656538067599862,subst,pieszych,nan,nan,nan,nan,nan,nan,nan,nan,"('pieszych',)"
0.9819891935161097,znakkonca,interp,nan,nan,nan,nan,nan,nan,nan,nan,"(interp,)"
0.5934859801640749,interp,.,nan,nan,nan,nan,nan,nan,nan,nan,"('.',)"
6.828269033799931e-05,subst,Samochód,nan,nan,nan,nan,nan,nan,nan,nan,"('Samochód',)"
0.0007102272727272727,fin,odjeżdża,nan,nan,nan,nan,nan,nan,nan,nan,"('odjeżdża',)"
0.14793340511886027,fw,fpm,nan,nan,nan,nan,nan,nan,nan,nan,"(fpm,)"
0.21037519142419603,prep,w,nan,nan,nan,nan,nan,nan,nan,nan,"('w',)"
0.09802707930367505,fno,fno,fno,nan,nan,nan,nan,nan,nan,nan,"(fno, fno)"
0.0005462615227039945,subst,kierunku,nan,nan,nan,nan,nan,nan,nan,nan,"('kierunku',)"
6.828269033799931e-05,subst,Nałęczowa,nan,nan,nan,nan,nan,nan,nan,nan,"('Nałęczowa',)"
0.023664022883890263,zdanie,fw,fl,ff,fw,nan,nan,nan,nan,nan,"(fw, fl, ff, fw)"
6.828269033799931e-05,subst,Niezgoda,nan,nan,nan,nan,nan,nan,nan,nan,"('Niezgoda',)"
0.0023971234518577705,adj,ostatniej,nan,nan,nan,nan,nan,nan,nan,nan,"('ostatniej',)"
0.0013656538067599864,subst,chwili,nan,nan,nan,nan,nan,nan,nan,nan,"('chwili',)"
0.0003551136363636364,fin,uskakuje,nan,nan,nan,nan,nan,nan,nan,nan,"('uskakuje',)"
0.1085375191424196,prep,do,nan,nan,nan,nan,nan,nan,nan,nan,"('do',)"
0.00019976028765481422,adj,przydrożnego,nan,nan,nan,nan,nan,nan,nan,nan,"('przydrożnego',)"
0.00013656538067599862,subst,rowu,nan,nan,nan,nan,nan,nan,nan,nan,"('rowu',)"
0.23235065942591157,spójnik,interp,nan,nan,nan,nan,nan,nan,nan,nan,"(interp,)"
