probability,start_symbol,end_symbol0,end_symbol1,end_symbol2,end_symbol3,end_symbol4,end_symbol5,end_symbol6,end_symbol7,end_symbol8,end_symbol9,end_symbols
0.03976702149025909,ROOT,NP,,,,,,,,,,"(NP,)"
0.006480802152115431,NP,AP,NN,PP,,,,,,,,"(AP, NN, PP)"
0.6581434130072262,AP,JJ,,,,,,,,,,"(JJ,)"
0.00018917896329928113,JJ,Individuell,,,,,,,,,,"('Individuell',)"
0.00011080332409972299,NN,beskattning,,,,,,,,,,"('beskattning',)"
0.8480629539951574,PP,P,NP,,,,,,,,,"(P, NP)"
0.121875,P,av,,,,,,,,,,"('av',)"
0.2837694627863373,NP,NN,,,,,,,,,,"(NN,)"
0.00011080332409972299,NN,arbetsinkomster,,,,,,,,,,"('arbetsinkomster',)"
0.8620204860413738,ROOT,S,,,,,,,,,,"(S,)"
0.00516868715346302,S,PP,VB,NP,MAD,,,,,,,"(PP, VB, NP, MAD)"
0.002662037037037037,P,Genom,,,,,,,,,,"('Genom',)"
5.5401662049861494e-05,NN,skattereformen,,,,,,,,,,"('skattereformen',)"
0.0004531858968548899,VB,införs,,,,,,,,,,"('införs',)"
4.0759761962990134e-05,NP,AP,NN,PAD,NP,PAD,PP,,,,,"(AP, NN, PAD, NP, PAD, PP)"
0.0009458948164964056,JJ,individuell,,,,,,,,,,"('individuell',)"
0.25518925518925517,PAD,-LRB-,,,,,,,,,,"('-LRB-',)"
0.00011080332409972299,NN,särbeskattning,,,,,,,,,,"('särbeskattning',)"
0.27106227106227104,PAD,-RRB-,,,,,,,,,,"('-RRB-',)"
0.9080786026200873,MAD,.,,,,,,,,,,"('.',)"
0.002255427121511136,S,NP,VB,AVP,S,MAD,,,,,,"(NP, VB, AVP, S, MAD)"
0.1276595744680851,NP,PN,,,,,,,,,,"(PN,)"
0.08502252252252253,PN,Det,,,,,,,,,,"('Det',)"
0.003988035892323031,VB,innebär,,,,,,,,,,"('innebär',)"
0.7552891396332864,AVP,AB,,,,,,,,,,"(AB,)"
0.005006739842095128,AB,bl.a.,,,,,,,,,,"('bl.a.',)"
0.09134479842120101,S,SN,S,,,,,,,,,"(SN, S)"
0.6633211678832117,SN,att,,,,,,,,,,"('att',)"
0.03946997462644488,S,NP,VB,VP,,,,,,,,"(NP, VB, VP)"
0.009782342871117632,NP,XP,NN,,,,,,,,,"(XP, NN)"
0.080859375,XP,AVP,RG,,,,,,,,,"(AVP, RG)"
0.004814172925091469,AB,endast,,,,,,,,,,"('endast',)"
0.03610906411201179,RG,en,,,,,,,,,,"('en',)"
5.5401662049861494e-05,NN,skatteskala,,,,,,,,,,"('skatteskala',)"
0.01386748844375963,VB,kommer,,,,,,,,,,"('kommer',)"
0.1943864532591046,VP,IE,VP,,,,,,,,,"(IE, VP)"
0.9837962962962963,IE,att,,,,,,,,,,"('att',)"
0.1022964509394572,VP,VB,PP,,,,,,,,,"(VB, PP)"
0.0008157346143388018,VB,finnas,,,,,,,,,,"('finnas',)"
0.10127314814814815,P,för,,,,,,,,,,"('för',)"
0.03880329338876661,NP,NN,PP,,,,,,,,,"(NN, PP)"
5.5401662049861494e-05,NN,beräkning,,,,,,,,,,"('beräkning',)"
0.05013450721447787,NP,AP,NN,,,,,,,,,"(AP, NN)"
0.0011350737797956867,JJ,statlig,,,,,,,,,,"('statlig',)"
0.0001662049861495845,NN,inkomstskatt,,,,,,,,,,"('inkomstskatt',)"
0.000187952260125928,S,NP,VB,AP,PP,PP,MAD,,,,,"(NP, VB, AP, PP, PP, MAD)"
0.015765765765765764,PN,Den,,,,,,,,,,"('Den',)"
0.01386748844375963,VB,blir,,,,,,,,,,"('blir',)"
0.0026485054861899358,JJ,gemensam,,,,,,,,,,"('gemensam',)"
0.039903806961767346,NP,DT,NN,,,,,,,,,"(DT, NN)"
0.024739583333333332,DT,alla,,,,,,,,,,"('alla',)"
5.5401662049861494e-05,NN,inkomsttagare,,,,,,,,,,"('inkomsttagare',)"
0.0002314814814814815,P,oavsett,,,,,,,,,,"('oavsett',)"
0.00011080332409972299,NN,civilstånd,,,,,,,,,,"('civilstånd',)"
0.005920496193966732,S,NP,VB,AVP,PP,MAD,,,,,,"(NP, VB, AVP, PP, MAD)"
0.0068884256321943265,VB,gäller,,,,,,,,,,"('gäller',)"
0.01386481802426343,AB,även,,,,,,,,,,"('även',)"
0.036194668623135244,NP,NP,KN,NP,,,,,,,,"(NP, KN, NP)"
0.00018917896329928113,JJ,oskifta,,,,,,,,,,"('oskifta',)"
0.0001662049861495845,NN,dödsbon,,,,,,,,,,"('dödsbon',)"
0.5914312325364793,KN,och,,,,,,,,,,"('och',)"
0.00011080332409972299,NN,familjestiftelser,,,,,,,,,,"('familjestiftelser',)"
0.024339817686307677,S,NP,VB,NP,MAD,,,,,,,"(NP, VB, NP, MAD)"
0.009293225727561751,NP,DT,NN,S,,,,,,,,"(DT, NN, S)"
